INSTNM,STABBR
Chattahoochee Technical College,GA
Herzing University-Atlanta,GA
Georgia Health Sciences University,GA
Mercer University,GA
Middle Georgia College,GA
Morehouse College,GA
Morehouse School of Medicine,GA
Moultrie Technical College,GA
University of North Georgia,GA
North Georgia Technical College,GA
Oglethorpe University,GA
Paine College,GA
Piedmont College,GA
Portfolio Center,GA
Reinhardt University,GA
Savannah Technical College,GA
Savannah College of Art and Design,GA
Savannah State University,GA
Shorter University,GA
South Georgia College,GA
South Georgia Technical College,GA
The Creative Circus,GA
Spelman College,GA
Southern Polytechnic State University,GA
Southwest Georgia Technical College,GA
Thomas University,GA
Toccoa Falls College,GA
Truett-McConnell College,GA
Wiregrass Georgia Technical College,GA
Valdosta State University,GA
Waycross College,GA
Wesleyan College,GA
University of West Georgia,GA
Young Harris College,GA
Heald College-Honolulu,HI
Chaminade University of Honolulu,HI
University of Hawaii at Hilo,HI
University of Hawaii at Manoa,HI
Hawaii Institute of Hair Design,HI
Hawaii Pacific University,HI
Honolulu Community College,HI
Kapiolani Community College,HI
Kauai Community College,HI
Leeward Community College,HI
University of Hawaii Maui College,HI
Med-Assist School of Hawaii Inc,HI
World Medicine Institute,HI
Travel Institute of the Pacific,HI
University of Hawaii System Office,HI
University of Hawaii-West Oahu,HI
Windward Community College,HI
Carrington College-Boise,ID
Boise Bible College,ID
Boise State University,ID
Eastern Idaho Technical College,ID
Idaho State University,ID
University of Idaho,ID
The College of Idaho,ID
Lewis-Clark State College,ID
ITT Technical Institute-Boise,ID
Joseph Charles Institute of Cosmetology,ID
Mr Leon's School of Hair Design-Moscow,ID
North Idaho College,ID
Northwest Nazarene University,ID
The School of Hairstyling,ID
Brigham Young University-Idaho,ID
College of Southern Idaho,ID
Adler School of Professional Psychology,IL
Alvareitas College of Cosmetology-Edwardsville,IL
Alvareitas College of Cosmetology-Godfrey,IL
American Academy of Art,IL
School of the Art Institute of Chicago,IL
The College of Office Technology,IL
Augustana College,IL
Aurora University,IL
Concept College of Cosmetology,IL
Southwestern Illinois College,IL
Bethany Theological Seminary,IN
Black Hawk College,IL
Blackburn College,IL
Blessing Rieman College of Nursing,IL
Blessing Hospital School of Radiologic Technology,IL
Bradley University,IL
Paul Mitchell the School-Bradley,IL
Cameo Beauty Academy,IL
Cannella School of Hair Design-Villa Park,IL
Cannella School of Hair Design-Chicago,IL
Cannella School of Hair Design-Chicago,IL
Cannella School of Hair Design-Elgin,IL
Capri Beauty College,IL
Empire Beauty School-Hanover Park,IL
Capri Beauty College,IL
Carl Sandburg College,IL
Catholic Theological Union at Chicago,IL
La James International College-East Moline,IL
Midwestern University-Downers Grove,IL
The Chicago School of Professional Psychology at Chicago,IL
Chicago State University,IL
Chicago Theological Seminary,IL
University of Chicago,IL
City Colleges of Chicago-Kennedy-King College,IL
City Colleges of Chicago-Malcolm X College,IL
City Colleges of Chicago-Olive-Harvey College,IL
City Colleges of Chicago-Harry S Truman College,IL
City Colleges of Chicago-Richard J Daley College,IL
City Colleges of Chicago-Harold Washington College,IL
City Colleges of Chicago-Wilbur Wright College,IL
Columbia College-Chicago,IL
Concordia University-Chicago,IL
Le Cordon Bleu College of Culinary Arts-Chicago,IL
Coyne College,IL
City Colleges of Chicago-District Office,IL
Danville Area Community College,IL
Concept College of Cosmetology,IL
DePaul University,IL
DeVry University-Illinois,IL
DeVry University-Administrative Office,IL
Cosmetology & Spa Academy,IL
College of DuPage,IL
East-West University,IL
Eastern Illinois University,IL
Elgin Community College,IL
Elmhurst College,IL
Eureka College,IL
First Institute Inc,IL
Fox College,IL
Garrett-Evangelical Theological Seminary,IL
Gem City College,IL
Governors State University,IL
Graham Hospital School of Nursing,IL
Greenville College,IL
Hair Professionals Academy of Cosmetology,IL
Hair Professionals Career College,IL
Hair Professionals School of Cosmetology,IL
Harrington College of Design,IL
Hebrew Theological College,IL
Highland Community College,IL
Rosalind Franklin University of Medicine and Science,IL
University of Illinois at Chicago,IL
Benedictine University,IL
Illinois College of Optometry,IL
University of Illinois at Urbana-Champaign,IL
Illinois Wesleyan University,IL
Illinois Central College,IL
Illinois College,IL
Olney Central College,IL
Illinois Institute of Technology,IL
Argosy University-Chicago,IL
Illinois State University,IL
Illinois Valley Community College,IL
Institute for Clinical Social Work,IL
International Academy of Design and Technology-Chicago,IL
John A Logan College,IL
The John Marshall Law School,IL
John Wood Community College,IL
Joliet Junior College,IL
Judson University,IL
Kankakee Community College,IL
Kaskaskia College,IL
DeVry University's Keller Graduate School of Management-Illinois,IL
Kendall College,IL
Kishwaukee College,IL
Knox College,IL
Educators of Beauty College of Cosmetology-La Salle,IL
College of Lake County,IL
Lake Forest College,IL
Lake Forest Graduate School of Management,IL
Lake Land College,IL
Lakeview College of Nursing,IL
Lewis and Clark Community College,IL
Lewis University,IL
Lexington College,IL
Lincoln Christian University,IL
Lincoln College,IL
Lincoln Land Community College,IL
Lincoln College of Technology-Melrose Park,IL
Loyola University Chicago,IL
Lutheran School of Theology at Chicago,IL
Trinity College of Nursing & Health Sciences,IL
CET-Chicago,IL
Mac Daniels Beauty School,IL
MacCormac College,IL
MacMurray College,IL
McCormick Theological Seminary,IL
McHenry County College,IL
McKendree University,IL
Meadville Lombard Theological School,IL
Methodist College,IL
Midstate College,IL
Millikin University,IL
Monmouth College,IL
Moody Bible Institute,IL
Moraine Valley Community College,IL
Morrison Institute of Technology,IL
Morton College,IL
Mr John's School of Cosmetology Esthetics & Nails-Decatur,IL
National Louis University,IL
National University of Health Sciences,IL
Niles School of Cosmetology,IL
North Central College,IL
North Park University,IL
Northern Baptist Theological Seminary,IL
Northern Illinois University,IL
Northwestern College-Chicago Campus,IL
Northwestern University,IL
Northeastern Illinois University,IL
Oakton Community College,IL
Oehrlein School of Cosmetology,IL
Olivet Nazarene University,IL
Parkland College,IL
Pivot Point Academy-Evanston,IL
Prairie State College,IL
Principia College,IL
Professional's Choice Hair Design Academy,IL
Quincy University,IL
Vatterott College-Quincy,IL
The Illinois Institute of Art-Chicago,IL
Rend Lake College,IL
Richland Community College,IL
Robert Morris University Illinois,IL
Rock Valley College,IL
Madison Media Institute - Rockford Career College,IL
Rockford University,IL
Roosevelt University,IL
Dominican University,IL
Rush University,IL
Saint Francis Medical Center College of Nursing,IL
University of St Francis,IL
St John's College of Nursing,IL
Saint Xavier University,IL
University of Illinois at Springfield,IL
Sauk Valley Community College,IL
Seabury-Western Theological Seminary,IL
Shawnee Community College,IL
Shimer College,IL
Saint Augustine College,IL
University of Saint Mary of the Lake,IL
Southeastern Illinois College,IL
National Latino Education Institute,IL
Spertus College,IL
Spoon River College,IL
Saint Anthony College of Nursing,IL
Educators of Beauty College of Cosmetology-Sterling,IL
Southern Illinois University-Carbondale,IL
Southern Illinois University-Edwardsville,IL
Southern Illinois University-System Office,IL
Taylor Business Institute,IL
Telshe Yeshiva-Chicago,IL
South Suburban College,IL
Tri-County Beauty Academy,IL
Trinity Christian College,IL
Trinity International University-Illinois,IL
Triton College,IL
University of Spa & Cosmetology Arts,IL
University of Illinois University Administration,IL
VanderCook College of Music,IL
Waubonsee Community College,IL
Resurrection University,IL
Western Illinois University,IL
Wheaton College,IL
Harper College,IL
Ancilla College,IN
Anderson University,IN
Apex Academy of Hair Design Inc,IN
Ball State University,IN
Bethel College-Indiana,IN
Butler University,IN
Calumet College of Saint Joseph,IN
Christian Theological Seminary,IN
College of Court Reporting Inc,IN
Concordia Theological Seminary,IN
Tricoci University of Beauty Culture-Highland,IN
DePauw University,IN
Don Roberts School of Hair Design,IN
Don Roberts Beauty School,IN
Earlham College,IN
University of Evansville,IN
Franklin College,IN
Good Samaritan Hospital School of Radiologic Technology,IN
Goshen College,IN
Grace College and Theological Seminary,IN
Hair Fashions By Kaye Beauty College-Noblesville,IN
Hair Fashions By Kaye Beauty College-Indianapolis,IN
Hanover College,IN
J Michael Harrold Beauty Academy,IN
Holy Cross College,IN
PJ's College of Cosmetology-Clarksville,IN
Huntington University,IN
Ivy Tech Community College,IN
Indiana University-Purdue University-Fort Wayne,IN
Indiana University-Purdue University-Indianapolis,IN
Harrison College-Indianapolis,IN
University of Indianapolis,IN
Indiana Institute of Technology,IN
University of Southern Indiana,IN
Indiana State University,IN
Indiana University-Kokomo,IN
Indiana University-South Bend,IN
Indiana University-Bloomington,IN
Indiana University-Northwest,IN
Indiana University-Southeast,IN
Indiana University-East,IN
International Business College-Fort Wayne,IN
International Business College-Indianapolis,IN
ITT Educational Services Inc-System Office,IN
ITT Technical Institute-Nashville,TN
ITT Technical Institute-Fort Wayne,IN
ITT Technical Institute-Indianapolis,IN
J Everett Light Career Center,IN
Knox Beauty College,IN
Lafayette Beauty Academy,IN
Brown Mackie College-Merrillville,IN
Brown Mackie College-Michigan City,IN
Empire Beauty School-Indianapolis,IN
Lincoln College of Technology-Indianapolis,IN
Manchester University,IN
Marian University,IN
Indiana Wesleyan University,IN
Martin University,IN
Masters of Cosmetology College,IN
Anabaptist Mennonite Biblical Seminary,IN
Merrillville Beauty College,IN
Brown Mackie College-South Bend,IN
Mid-America College of Funeral Service,IN
West Michigan College of Barbering and Beauty,MI
University of Notre Dame,IN
Oakland City University,IN
PJ's College of Cosmetology-Richmond,IN
Kaplan College-Indianapolis,IN
Purdue University-Calumet Campus,IN
Purdue University-North Central Campus,IN
Ravenscroft Beauty College,IN
Rogers Academy of Hair Design,IN
Rose-Hulman Institute of Technology,IN
Rudae's School of Beauty Culture-Kokomo,IN
University of Saint Francis-Fort Wayne,IN
Saint Josephs College,IN
Saint Mary-of-the-Woods College,IN
Saint Mary's College,IN
Kaplan College-Hammond,IN
Kaplan College-Merrillville,IN
Saint Meinrad School of Theology,IN
Saint Elizabeth School of Nursing,IN
Taylor University,IN
Trine University,IN
Valparaiso University,IN
Vincennes Beauty College,IN
Vincennes University,IN
Wabash College,IN
Allen College,IA
AIB College of Business,IA
Briar Cliff University,IA
Buena Vista University,IA
Capri College-Dubuque,IA
Capri College-Cedar Rapids,IA
American College of Hairstyling-Cedar Rapids,IA
Central College,IA
Clarke University,IA
Coe College,IA
Cornell College,IA
Iowa School of Beauty-Marshalltown,IA
Des Moines Area Community College,IA
Divine Word College,IA
Dordt College,IA
Drake University,IA
University of Dubuque,IA
Ellsworth Community College,IA
Emmaus Bible College,IA
Eastern Iowa Community College District,IA
Faith Baptist Bible College and Theological Seminary,IA
Faust Institute of Cosmetology-Storm Lake,IA
Graceland University-Lamoni,IA
Grand View University,IA
Grinnell College,IA
Kaplan University-Mason City Campus,IA
Kaplan University-Cedar Rapids Campus,IA
Hamilton Technical College,IA
Hawkeye Community College,IA
American Hair Academy,IA
Indian Hills Community College,IA
Iowa Central Community College,IA
Iowa Lakes Community College,IA
UnityPoint Health-Des Moines School of Radiologic Technology,IA
American College of Hairstyling-Des Moines,IA
Iowa School of Beauty-Des Moines,IA
Iowa State University,IA
Iowa Wesleyan College,IA
Iowa Western Community College,IA
University of Iowa,IA
Kirkwood Community College,IA
La James International College-Cedar Falls,IA
La James International College-Johnston,IA
La James College of Hairstyling and Cosmetology,IA
La James International College-Ft Dodge,IA
Loras College,IA
Luther College,IA
Maharishi University of Management,IA
Marshalltown Community College,IA
Mercy College of Health Sciences,IA
